count	doc_pk	filename	part_pk	title	nb_of_ocr_lines	best_GT_1_id	best_GT_1_biggest_cluster_size	best_GT_2_id	best_GT_2_biggest_cluster_size	best_GT_3_id	best_GT_3_biggest_cluster_size	best_GT_4_id	best_GT_4_biggest_cluster_size	best_GT_5_id	best_GT_5_biggest_cluster_size	MT_NoVoc_concatenated.txt	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_clean_concatenated.txt	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt
31	4381	IE87733114_00007.xml	734790	Element 56	27	Siddur_Ashkenaz_clean_concatenated.txt	6	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	MT_NoVoc_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	5	1	0	6	6
32	4381	IE87744435_00015.xml	734793	Element 59	29	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	MT_NoVoc_concatenated.txt	10	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	10	11	0	0	7
33	4381	IE87744435_00039.xml	734794	Element 60	29	Siddur_Ashkenaz_clean_concatenated.txt	19	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	18	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	MT_NoVoc_concatenated.txt	14	14	18	18	19	18
34	4381	IE87752740_00019.xml	734795	Element 61	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	MT_NoVoc_concatenated.txt	0	0	11	11	11	4
35	4381	IE87752740_00022.xml	734796	Element 62	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	7	MT_NoVoc_concatenated.txt	0	0	13	7	13	13
36	4381	IE87755510_00024.xml	734798	Element 64	18	Siddur_Ashkenaz_clean_concatenated.txt	16	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	16	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	0	0	12	12	16	16
37	4381	IE87708411_00019.xml	734782	Element 48	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	0	0	2	2	4	5
38	4381	IE61220167_00083.xml	734741	Element 7	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0	2	0	5	0	0
39	4381	IE61220167_00097.xml	734743	Element 9	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0	3	0	5	5	0
40	4381	IE87519524_00013.xml	734764	Element 30	23	Siddur_Ashkenaz_clean_concatenated.txt	10	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	MT_NoVoc_concatenated.txt	3	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	3	0	3	10	10
41	4381	IE87675634_00010.xml	734775	Element 41	30	Siddur_Ashkenaz_clean_concatenated.txt	4	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	0	0	3	4	4
42	4381	IE87700963_00014.xml	734778	Element 44	14	Siddur_Ashkenaz_clean_concatenated.txt	7	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	MT_NoVoc_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	2	0	2	7	7
43	4381	IE87739615_00009.xml	734792	Element 58	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	Siddur_Ashkenaz_clean_concatenated.txt	6	MT_NoVoc_concatenated.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	2	0	2	6	7
44	4381	IE87752740_00038.xml	734797	Element 63	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	0	0	13	0	8
45	4381	IE103402206_00010.xml	734735	Element 1	11	MT_NoVoc_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0	11	0	0	0	0
46	4381	IE103402206_00014.xml	734736	Element 2	19	MT_NoVoc_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0	9	0	0	0	0
47	4381	IE103409244_00025.xml	734737	Element 3	28	MT_NoVoc_concatenated.txt	14	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	0	14	0	0	0	0
48	4381	IE87476216_00051.xml	734760	Element 26	23	MT_NoVoc_concatenated.txt	18	Siddur_Ashkenaz_clean_concatenated.txt	4	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	18	0	0	4	4
49	4381	IE87508468_00031.xml	734763	Element 29	18	MT_NoVoc_concatenated.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	12	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	14	0	0	12	12
50	4381	IE87675634_00007.xml	734774	Element 40	26	MT_NoVoc_concatenated.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	3	0	0	3	3
51	4381	IE87234800_00003.xml	734750	Element 16	22	MT_NoVoc_concatenated.txt	3	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	1	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	Siddur_Ashkenaz_clean_concatenated.txt	0	3	0	0	0	1
52	4381	IE87581919_00011.xml	734769	Element 35	23	Siddur_Ashkenaz_clean_concatenated.txt	3	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	0	0	0	3	3
53	4381	IE87694978_00020.xml	734777	Element 43	26	Siddur_Ashkenaz_clean_concatenated.txt	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	0	0	0	17	17
54	4381	IE87733114_00008.xml	734791	Element 57	24	Siddur_Ashkenaz_clean_concatenated.txt	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	0	0	0	23	23
55	4381	IE87555665_00021.xml	734766	Element 32	14	Siddur_Ashkenaz_clean_concatenated.txt	6	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	MT_NoVoc_concatenated.txt	0	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	0	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	0	0	0	0	6	6
